MeasureItem	Month	Year	Category	Area	MeasureItemID	Representativity	ProvidedValue	ProvidedValueCode
Monthly Domestic Values	1	2025	Export	AL	67	100	219.640310	
Monthly Domestic Values	2	2025	Export	AL	67	100	227.741030	
Monthly Domestic Values	3	2025	Export	AL	67	100	229.305700	
Monthly Domestic Values	4	2025	Export	AL	67	100	277.069900	
Monthly Domestic Values	5	2025	Export	AL	67	100	228.815560	
Monthly Domestic Values	6	2025	Export	AL	67	100	90.699640	
Monthly Domestic Values	7	2025	Export	AL	67	100	65.974390	
Monthly Domestic Values	8	2025	Export	AL	67	100	72.234610	
Monthly Domestic Values	9	2025	Export	AL	67	100	121.541080	
Monthly Domestic Values	10	2025	Export	AL	67	100	114.768444	
Monthly Domestic Values	11	2025	Export	AL	67	100	336.778305	
Monthly Domestic Values	12	2025	Export	AL	67	100	323.367058	
Monthly Domestic Values	1	2025	Import	AL	99	100	209.462190	
Monthly Domestic Values	2	2025	Import	AL	99	100	172.069450	
Monthly Domestic Values	3	2025	Import	AL	99	100	18.206690	
Monthly Domestic Values	4	2025	Import	AL	99	100	47.334000	
Monthly Domestic Values	5	2025	Import	AL	99	100	109.757280	
Monthly Domestic Values	6	2025	Import	AL	99	100	194.369980	
Monthly Domestic Values	7	2025	Import	AL	99	100	230.122850	
Monthly Domestic Values	8	2025	Import	AL	99	100	176.841600	
Monthly Domestic Values	9	2025	Import	AL	99	100	201.319050	
Monthly Domestic Values	10	2025	Import	AL	99	100	123.431874	
Monthly Domestic Values	11	2025	Import	AL	99	100	104.610465	
Monthly Domestic Values	12	2025	Import	AL	99	100	1.340220	
Monthly Domestic Values	2	2025	Export	AM	67	100	46.357870	
Monthly Domestic Values	3	2025	Export	AM	67	100	18.405020	
Monthly Domestic Values	5	2025	Export	AM	67	100	0.001010	
Monthly Domestic Values	6	2025	Export	AM	67	100	0.000020	
Monthly Domestic Values	7	2025	Export	AM	67	100	0.000110	
Monthly Domestic Values	8	2025	Export	AM	67	100	13.599270	
Monthly Domestic Values	9	2025	Export	AM	67	100	22.082950	
Monthly Domestic Values	11	2025	Export	AM	67	100	14.132198	
Monthly Domestic Values	12	2025	Export	AM	67	100	40.976413	
Monthly Domestic Values	1	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	2	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	3	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	4	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	5	2025	Import	AM	99	100	14.128980	
Monthly Domestic Values	6	2025	Import	AM	99	100	32.670950	
Monthly Domestic Values	7	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	8	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	9	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	10	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	11	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	12	2025	Import	AM	99	100	0.000000	
Monthly Domestic Values	1	2025	Biomass	AT	B01	100	196.0740000000000000	
Monthly Domestic Values	2	2025	Biomass	AT	B01	100	169.4780000000000000	
Monthly Domestic Values	3	2025	Biomass	AT	B01	100	187.3430000000000000	
Monthly Domestic Values	4	2025	Biomass	AT	B01	100	166.1540000000000000	
Monthly Domestic Values	5	2025	Biomass	AT	B01	100	175.1320000000000000	
Monthly Domestic Values	6	2025	Biomass	AT	B01	100	115.0230000000000000	
Monthly Domestic Values	7	2025	Biomass	AT	B01	100	100.1770000000000000	
Monthly Domestic Values	8	2025	Biomass	AT	B01	100	97.4610000000000000	
